站點名稱,緯度,經度,圖片,站點位置
"北新竹火車站(新竹高工)","24.80963","120.98351","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/81a5c7e3-e2f1-4acd-8af7-ed7c49c66555.jpg","中華路二段2-1號前人行道"
"明志書院立體停車場","24.80167","120.96576","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9579aa82-ddbb-4add-9939-4d057c7595df.jpg","西大路317號(停車場前人行道)"
"十八尖山(新竹高商)","24.79703","120.98755","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/6e518d79-c389-4d66-a8c7-dc38bc82dec4.jpg","博愛街5巷2號對面停車場"
"清華大學(小吃部)","24.79307","120.99335","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/7c27db3b-0bfb-4fdc-aaec-a2bda99089cb.jpg","光復路二段101號(小吃部左側廣場)"
"陽明交通大學(大學路)","24.7894","121.00026","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/8f644049-852e-475d-8d61-256dbcb79a53.jpg","大學路200號(對面人行道)"
"陽明交通大學(逐風廣場)","24.78473","120.99994","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/29f0f233-d08d-48f3-8090-f39be068c0c6.jpg","大學路1001號(女二宿前廣場)"
"新竹轉運站","24.8009","120.97319","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/23e8e2f3-5efc-441a-becc-1e03405b75f3.jpg","東南街1巷6號(轉運站對面人行廣場)"
"清華大學(北校門)","24.79684","120.99669","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/8cec8d60-a116-4bf3-b167-4b604cfda7db.jpg","光復路二段101號(面校門右側人行道)"
"新竹馬偕紀念醫院","24.80007","120.99128","","光復路二段690號(水源街對面公園人行道)"
"經國民生路口","24.81388","120.97399","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/4906b769-a9b6-45a8-b724-11f216cf0d1d.jpg","民生路309號旁公園綠帶"
"建國公園(城隍廟)","24.80338","120.96668","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/05c6caeb-f4c3-4b54-b34f-fc11d34df50b.jpg","西門街1號(對面汽車停車格)"
"新竹三民公園","24.81123","120.97962","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/d7aed07f-4b11-458e-80e4-64f84cc6a30f.jpg","中央路364-1號(網球場前人行道)"
"天公壇","24.79943","120.95726","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/df12d71f-b7ed-4a52-908d-ea5d9b2729ab.jpg","中山路450-1號(對側西雅公園)"
"新竹棒球場","24.80778","120.96086","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/27c7c9e3-380c-42e1-8699-6865d418890e.jpg","民富街141號對面人行道"
"新竹市政府","24.80614","120.96926","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1c99c30b-5eb4-459c-b65a-877976f6d77e.jpg","中央路106號(對面人行道)"
